transaction_id,txn_ts,amount,merchant_cat,card_id,device_id,ip_addr,v1,v2,v3,v4,v5,label
3241769066,2025-01-09 13:44:00,178.76,grocery,9a732261,9eb031a8,10.0.0.99,0.5444248301765975,0.7774688588525371,-1.2851759611011242,0.6074948745999174,-0.9143002598850339,0
7365411980,2025-01-01 18:15:00,1.62,pharmacy,e7e7dc33,66aa9dd0,10.0.0.47,0.6779232074942245,-2.428749131950902,-0.4847387915049282,0.7001173643024581,1.5867767002066056,0
4929987849,2025-01-08 09:52:00,60.99,electronics,822129ee,3dfc61c2,10.0.0.153,0.580594202089616,0.6293781030126887,0.649901441238765,0.23582292974960714,0.8406928586740322,0
6428113537,2025-01-01 15:11:00,35.65,gas,acd0d0fd,3bfb766d,10.0.0.147,0.42946884243999883,-0.5418206986113816,-0.9678456362089399,0.8486038783749883,0.15139296798355145,0
1976939626,2025-01-03 23:51:00,34.01,apparel,de3fed0a,cbe5ce90,10.0.0.129,0.9116621192902864,0.7655946340625096,-0.35501787667608475,0.8616997636133412,-0.66102685297134,0
8492507029,2025-01-01 09:27:00,200.67,electronics,97e86ef7,5ad73ed3,10.0.0.239,-0.11882953027825395,-0.1583207848917881,-0.043427082604088965,0.5946471841042951,-1.233397031583566,0
2271836365,2025-01-01 08:27:00,94.1,grocery,5f8d0f2e,0d9efba3,10.0.0.225,0.5413464509421814,-0.5919559314536981,1.3051516172292126,-0.20373159690409223,0.629517513899349,0
1104142189,2025-01-02 05:10:00,2.89,gas,5fb9d7b3,cf3c5332,10.0.0.213,-0.7247570194510637,1.4334985310469581,-1.9975281864770869,1.2250194558312326,-1.8309988123210372,0
2025588217,2025-01-03 10:27:00,33.15,utilities,df692e73,f364a4cf,10.0.0.133,0.9813525925077585,1.7954887586946042,0.09114086653153385,-1.6647362098937823,0.8135398136847896,0
3358494786,2025-01-01 08:00:00,86.9,travel,0d7b08a1,d64ea02b,10.0.0.26,-0.7826043826187803,1.8264528567753642,-2.712591707135535,-0.38147140316296413,-0.18273181052388907,0
7888153088,2025-01-04 21:06:00,12.89,electronics,011b8302,1178600b,10.0.0.77,-0.1352837498227251,-0.25270107865460384,-1.3420304744270495,-0.8267936853760792,0.9378734294515875,0
5131160249,2025-01-03 08:55:00,40.05,restaurants,3d7c54d3,504a6e89,10.0.0.80,0.3691806126302562,0.5427852033901601,0.9941184533770199,-1.536783682102968,0.7174220765998317,0
5041509320,2025-01-10 11:36:00,7.14,travel,13fd1633,9faeb097,10.0.0.230,0.9192130586779252,-0.02649452547874015,0.8127248042459081,0.5469085225136012,-0.8934809644173538,0
4551626352,2025-01-07 13:13:00,56.71,electronics,6e970fb9,22e620bf,10.0.0.50,0.23192106209204927,1.260340092108789,0.6211646540395567,0.038277171218917626,0.9492608103206531,0
5956686552,2025-01-08 12:23:00,47.85,utilities,89a2849e,5fda8b44,10.0.0.117,-0.408134847321537,0.5944558763269281,-0.0620450054355197,1.00693408272003,0.45862644033234784,0
2701485257,2025-01-08 14:00:00,9.82,online,4058fc97,0140a36c,10.0.0.103,-0.3936397609808796,-0.427142364007794,-0.07310350475331799,0.451486387163714,-0.819796485398367,0
5576070617,2025-01-01 08:01:00,98.49,travel,49f9662a,fbe112af,10.0.0.189,0.03028760371619911,1.132380303710479,-0.026994175804662127,-0.011863850395730324,0.17072757596497717,0
7065800726,2025-01-10 10:24:00,81.75,travel,cb8e68ba,b931296a,10.0.0.163,-1.1241459834222087,-0.6028360697066962,-1.5427341529069865,-1.0407965283235605,0.016101004142100923,0
4161329207,2025-01-08 08:59:00,103.96,online,fa6bf82e,83b476ce,10.0.0.47,0.6138999589413878,1.2208032719278576,-0.8652623266706534,-0.41895172485195,-0.5198228124411671,0
3622297429,2025-01-10 11:31:00,81.97,pharmacy,0ca3a527,d1beb7e9,10.0.0.226,1.4530940077306358,-0.03365331652183212,0.4576525099057085,0.7298651412195183,-0.16428136389630604,0
3586382425,2025-01-01 08:08:00,163.04,restaurants,cfa3a9c5,3ad62ce3,10.0.0.251,-1.1783037304906219,-0.050937059086479865,-0.6673285101926144,0.8436348802566273,0.9022360781285262,0
3337034600,2025-01-06 14:59:00,122.33,pharmacy,331f7ec9,268a1793,10.0.0.14,-0.4935265212701646,0.39445311502598973,-0.04814306918053736,-0.684665984300915,-0.18779193215983764,0
7182297591,2025-01-09 05:58:00,3.36,apparel,21d8bd67,302ec2ec,10.0.0.138,1.1918253100140368,0.12937229370691397,1.1554489802121986,-0.38146860877174305,-0.660961422698325,0
7974915265,2025-01-08 13:44:00,113.02,electronics,813c7a7a,3777d94d,10.0.0.49,-1.7006970191133086,0.46285515067806954,-0.3316516851128946,-0.5180514312918691,0.016277758341344626,0
6830036022,2025-01-03 16:16:00,107.6,electronics,a824f13f,30850206,10.0.0.118,1.9417462232662048,1.3575130230950987,-2.042588648401301,0.8516307552315553,0.21664436995633843,0
2003326136,2025-01-01 19:48:00,4.11,utilities,15aac541,369a7cfa,10.0.0.227,0.514869435761022,1.3930021787549565,1.2137493810547764,-0.42928671155647224,-0.9090716118588645,0
